season	baker	index	episode	mean_star	star	mean_good	good	mean_bad	bad	place
11	Dave	0	1	0	0	0	0	0	0	0
11	Dave	0	2	0.5	1	0.5	1	0	0	0
11	Dave	0	3	0.33	0	0.33	0	0.33	1	0
11	Dave	0	4	0.25	0	0.25	0	0.25	0	0
11	Dave	0	5	0.2	0	0.4	1	0.2	0	0
11	Hermine	0	1	0	0	1	1	0	0	0
11	Hermine	0	2	0	0	0.5	0	0	0	0
11	Hermine	0	3	0	0	0.33	0	0	0	0
11	Hermine	0	4	0	0	0.25	0	0	0	0
11	Hermine	0	5	0	0	0.4	1	0	0	0
11	Laura	0	1	0	0	0	0	0	0	0
11	Laura	0	2	0	0	0	0	0	0	0
11	Laura	0	3	0	0	0	0	0	0	0
11	Laura	0	4	0	0	0	0	0	0	0
11	Laura	0	5	0.2	1	0.2	1	0	0	0
11	Linda	0	1	0	0	0	0	1	1	0
11	Linda	0	2	0	0	0	0	0.5	0	0
11	Linda	0	3	0	0	0	0	0.33	0	0
11	Linda	0	4	0	0	0	0	0.25	0	0
11	Linda	0	5	0	0	0	0	0.4	1	0
11	Loriea	0	1	0	0	0	0	1	1	1
11	Loriea	0	2	0	0	0	0	0.5	0	1
11	Loriea	0	3	0	0	0	0	0.33	0	1
11	Loriea	0	4	0	0	0	0	0.25	0	1
11	Loriea	0	5	0	0	0	0	0.2	0	1
11	Lottie	0	1	0	0	0	0	0	0	0
11	Lottie	0	2	0	0	0	0	0	0	0
11	Lottie	0	3	0	0	0	0	0	0	0
11	Lottie	0	4	0	0	0	0	0.25	1	0
11	Lottie	0	5	0	0	0	0	0.2	0	0
11	Mak	0	1	0	0	0	0	0	0	2
11	Mak	0	2	0	0	0	0	0.5	1	2
11	Mak	0	3	0	0	0	0	0.33	0	2
11	Mak	0	4	0	0	0	0	0.25	0	2
11	Mak	0	5	0	0	0	0	0.2	0	2
11	Marc	0	1	0	0	0	0	1	1	0
11	Marc	0	2	0	0	0.5	1	0.5	0	0
11	Marc	0	3	0.33	1	0.67	1	0.33	0	0
11	Marc	0	4	0.25	0	0.5	0	0.25	0	0
11	Marc	0	5	0.2	0	0.4	0	0.4	1	0
11	Mark	0	1	0	0	0	0	0	0	0
11	Mark	0	2	0	0	0.5	1	0	0	0
11	Mark	0	3	0	0	0.33	0	0	0	0
11	Mark	0	4	0.25	1	0.5	1	0	0	0
11	Mark	0	5	0.2	0	0.4	0	0.2	1	0
11	Peter	0	1	1	1	1	1	0	0	0
11	Peter	0	2	0.5	0	0.5	0	0	0	0
11	Peter	0	3	0.33	0	0.33	0	0.33	1	0
11	Peter	0	4	0.25	0	0.5	1	0.25	0	0
11	Peter	0	5	0.2	0	0.4	0	0.2	0	0
11	Rowan	0	1	0	0	0	0	0	0	3
11	Rowan	0	2	0	0	0	0	0.5	1	3
11	Rowan	0	3	0	0	0	0	0.67	1	3
11	Rowan	0	4	0	0	0	0	0.5	0	3
11	Rowan	0	5	0	0	0	0	0.4	0	3
11	Sura	0	1	0	0	1	1	0	0	4
11	Sura	0	2	0	0	0.5	0	0	0	4
11	Sura	0	3	0	0	0.67	1	0	0	4
11	Sura	0	4	0	0	0.5	0	0.25	1	4
11	Sura	0	5	0	0	0.4	0	0.2	0	4
