season	baker	index	episode	tech_mean	tech_med	tech	place
11	Dave	0	1	0	0	0	0
11	Dave	0	2	0	0	0	0
11	Dave	0	3	0	0	0	0
11	Dave	0	4	0	0	0	0
11	Dave	0	5	0	0	0	0
11	Dave	0	6	0.5	0	3	0
11	Dave	0	7	1.29	0	6	0
11	Dave	0	8	1.75	0	5	0
11	Dave	0	9	1.89	0	3	0
11	Dave	0	10	1.7	0	0	0
11	Hermine	0	1	5	5	5	0
11	Hermine	0	2	5	5	5	0
11	Hermine	0	3	5.67	5	7	0
11	Hermine	0	4	5.5	5	5	0
11	Hermine	0	5	4.8	5	2	0
11	Hermine	0	6	4.67	5	4	0
11	Hermine	0	7	4.14	5	1	0
11	Hermine	0	8	4	4.5	3	0
11	Hermine	0	9	3.78	4	2	0
11	Hermine	0	10	3.4	3.5	0	0
11	Laura	0	1	6	6	6	0
11	Laura	0	2	6.5	6.5	7	0
11	Laura	0	3	6.33	6	6	0
11	Laura	0	4	5.25	6	2	0
11	Laura	0	5	5.4	6	6	0
11	Laura	0	6	5.67	6	7	0
11	Laura	0	7	5.43	6	4	0
11	Laura	0	8	4.88	6	1	0
11	Laura	0	9	4.78	6	4	0
11	Laura	0	10	4.3	5	0	0
11	Linda	0	1	12	12	12	0
11	Linda	0	2	8	8	4	0
11	Linda	0	3	5.67	4	1	0
11	Linda	0	4	4.5	2.5	1	0
11	Linda	0	5	5.2	4	8	0
11	Linda	0	6	4.33	2.5	0	0
11	Linda	0	7	3.71	1	0	0
11	Linda	0	8	3.25	1	0	0
11	Linda	0	9	2.89	1	0	0
11	Linda	0	10	2.6	0.5	0	0
11	Loriea	0	1	10	10	10	1
11	Loriea	0	2	5	5	0	1
11	Loriea	0	3	3.33	0	0	1
11	Loriea	0	4	2.5	0	0	1
11	Loriea	0	5	2	0	0	1
11	Loriea	0	6	1.67	0	0	1
11	Loriea	0	7	1.43	0	0	1
11	Loriea	0	8	1.25	0	0	1
11	Loriea	0	9	1.11	0	0	1
11	Loriea	0	10	1	0	0	1
11	Lottie	0	1	4	4	4	0
11	Lottie	0	2	6	6	8	0
11	Lottie	0	3	5.67	5	5	0
11	Lottie	0	4	6.5	6.5	9	0
11	Lottie	0	5	6	5	4	0
11	Lottie	0	6	5.33	4.5	2	0
11	Lottie	0	7	5.29	5	5	0
11	Lottie	0	8	4.63	4.5	0	0
11	Lottie	0	9	4.11	4	0	0
11	Lottie	0	10	3.7	4	0	0
11	Mak	0	1	8	8	8	2
11	Mak	0	2	5.5	5.5	3	2
11	Mak	0	3	3.67	3	0	2
11	Mak	0	4	2.75	1.5	0	2
11	Mak	0	5	2.2	0	0	2
11	Mak	0	6	1.83	0	0	2
11	Mak	0	7	1.57	0	0	2
11	Mak	0	8	1.38	0	0	2
11	Mak	0	9	1.22	0	0	2
11	Mak	0	10	1.1	0	0	2
11	Marc	0	1	11	11	11	0
11	Marc	0	2	10	10	9	0
11	Marc	0	3	7.33	9	2	0
11	Marc	0	4	7	7.5	6	0
11	Marc	0	5	7	7	7	0
11	Marc	0	6	6.83	6.5	6	0
11	Marc	0	7	6.29	6	3	0
11	Marc	0	8	5.75	6	2	0
11	Marc	0	9	5.11	6	0	0
11	Marc	0	10	4.6	4.5	0	0
11	Mark	0	1	7	7	7	0
11	Mark	0	2	4.5	4.5	2	0
11	Mark	0	3	4	3	3	0
11	Mark	0	4	3.75	3	3	0
11	Mark	0	5	3.6	3	3	0
11	Mark	0	6	3.83	3	5	0
11	Mark	0	7	3.29	3	0	0
11	Mark	0	8	2.88	3	0	0
11	Mark	0	9	2.56	3	0	0
11	Mark	0	10	2.3	2.5	0	0
11	Peter	0	1	2	2	2	0
11	Peter	0	2	6	6	10	0
11	Peter	0	3	5.33	4	4	0
11	Peter	0	4	5	4	4	0
11	Peter	0	5	4.2	4	1	0
11	Peter	0	6	3.67	3	1	0
11	Peter	0	7	3.43	2	2	0
11	Peter	0	8	3.5	3	4	0
11	Peter	0	9	3.22	2	1	0
11	Peter	0	10	2.9	2	0	0
11	Rowan	0	1	3	3	3	3
11	Rowan	0	2	7	7	11	3
11	Rowan	0	3	8	10	10	3
11	Rowan	0	4	6	6.5	0	3
11	Rowan	0	5	4.8	3	0	3
11	Rowan	0	6	4	1.5	0	3
11	Rowan	0	7	3.43	0	0	3
11	Rowan	0	8	3	0	0	3
11	Rowan	0	9	2.67	0	0	3
11	Rowan	0	10	2.4	0	0	3
11	Sura	0	1	1	1	1	4
11	Sura	0	2	3.5	3.5	6	4
11	Sura	0	3	5	6	8	4
11	Sura	0	4	5.5	6.5	7	4
11	Sura	0	5	4.4	6	0	4
11	Sura	0	6	3.67	3.5	0	4
11	Sura	0	7	3.14	1	0	4
11	Sura	0	8	2.75	0.5	0	4
11	Sura	0	9	2.44	0	0	4
11	Sura	0	10	2.2	0	0	4
