season,baker,index,episode,Starbaker,Bad,Good
11,Dave,1,1,0,0,0
11,Hermine,2,1,0,0,1
11,Laura,3,1,0,0,0
11,Linda,4,1,0,1,0
11,Lottie,5,1,0,0,0
11,Marc,6,1,0,1,0
11,Mark,7,1,0,0,0
11,Peter,8,1,1,0,1
11,Sura,9,1,0,0,1
11,Rowan,10,1,0,0,0
11,Mak,11,1,0,0,0
11,Loriea,12,1,0,1,0
11,Dave,1,2,1,0,1
11,Hermine,2,2,0,0,0
11,Laura,3,2,0,0,0
11,Linda,4,2,0,0,0
11,Lottie,5,2,0,0,0
11,Marc,6,2,0,0,1
11,Mark,7,2,0,0,1
11,Peter,8,2,0,0,0
11,Sura,9,2,0,0,0
11,Rowan,10,2,0,1,0
11,Mak,11,2,0,1,0
11,Loriea,12,2,0,0,0
11,Dave,1,3,0,1,0
11,Hermine,2,3,0,0,0
11,Laura,3,3,0,0,0
11,Linda,4,3,0,0,0
11,Lottie,5,3,0,0,0
11,Marc,6,3,1,0,1
11,Mark,7,3,0,0,0
11,Peter,8,3,0,1,0
11,Sura,9,3,0,0,1
11,Rowan,10,3,0,1,0
11,Mak,11,3,0,0,0
11,Loriea,12,3,0,0,0
11,Dave,1,4,0,0,0
11,Hermine,2,4,0,0,0
11,Laura,3,4,0,0,0
11,Linda,4,4,0,0,0
11,Lottie,5,4,0,1,0
11,Marc,6,4,0,0,0
11,Mark,7,4,1,0,1
11,Peter,8,4,0,0,1
11,Sura,9,4,0,1,0
11,Rowan,10,4,0,0,0
11,Mak,11,4,0,0,0
11,Loriea,12,4,0,0,0
11,Dave,1,5,0,0,1
11,Hermine,2,5,0,0,1
11,Laura,3,5,1,0,1
11,Linda,4,5,0,1,0
11,Lottie,5,5,0,0,0
11,Marc,6,5,0,1,0
11,Mark,7,5,0,1,0
11,Peter,8,5,0,0,0
11,Sura,9,5,0,0,0
11,Rowan,10,5,0,0,0
11,Mak,11,5,0,0,0
11,Loriea,12,5,0,0,0
11,Dave,1,6,0,0,1
11,Hermine,2,6,0,1,0
11,Laura,3,6,0,1,0
11,Linda,4,6,0,0,0
11,Lottie,5,6,1,0,1
11,Marc,6,6,0,0,1
11,Mark,7,6,0,1,0
11,Peter,8,6,0,0,0
11,Sura,9,6,0,0,0
11,Rowan,10,6,0,0,0
11,Mak,11,6,0,0,0
11,Loriea,12,6,0,0,0
11,Dave,1,7,0,0,0
11,Hermine,2,7,1,0,1
11,Laura,3,7,0,1,0
11,Linda,4,7,0,1,0
11,Lottie,5,7,0,0,0
11,Marc,6,7,0,0,1
11,Mark,7,7,0,0,0
11,Peter,8,7,0,0,0
11,Sura,9,7,0,0,0
11,Rowan,10,7,0,0,0
11,Mak,11,7,0,0,0
11,Loriea,12,7,0,0,0
11,Dave,1,8,0,0,0
11,Hermine,2,8,1,0,1
11,Laura,3,8,0,0,1
11,Linda,4,8,0,0,0
11,Lottie,5,8,0,0,0
11,Marc,6,8,0,1,0
11,Mark,7,8,0,0,0
11,Peter,8,8,0,1,0
11,Sura,9,8,0,0,0
11,Rowan,10,8,0,0,0
11,Mak,11,8,0,0,0
11,Loriea,12,8,0,0,0
11,Dave,1,9,0,0,1
11,Hermine,2,9,0,1,0
11,Laura,3,9,0,1,0
11,Linda,4,9,0,0,0
11,Lottie,5,9,0,0,0
11,Marc,6,9,0,0,0
11,Mark,7,9,0,0,0
11,Peter,8,9,1,0,1
11,Sura,9,9,0,0,0
11,Rowan,10,9,0,0,0
11,Mak,11,9,0,0,0
11,Loriea,12,9,0,0,0
