season,baker,index,episode,Starbaker,Bad,Good
10,Alice,0,1,0,0,0
10,Amelia,1,1,0,0,0
10,Dan,12,1,0,1,0
10,David,2,1,0,0,0
10,Helena,3,1,0,0,0
10,Henry,4,1,0,0,0
10,Jamie,11,1,0,1,0
10,Michael,5,1,1,0,1
10,Michelle,6,1,0,0,0
10,Phil,7,1,0,0,0
10,Priya,8,1,0,0,0
10,Rosie,9,1,0,0,1
10,Steph,10,1,0,0,1
10,Alice,0,2,1,0,1
10,Amelia,1,2,0,1,0
10,Dan,12,2,0,0,0
10,David,2,2,0,0,1
10,Helena,3,2,0,0,0
10,Henry,4,2,0,0,0
10,Jamie,11,2,0,1,0
10,Michael,5,2,0,0,0
10,Michelle,6,2,0,0,0
10,Phil,7,2,0,0,0
10,Priya,8,2,0,0,0
10,Rosie,9,2,0,0,0
10,Steph,10,2,0,0,0
10,Alice,0,3,0,1,0
10,Amelia,1,3,1,0,1
10,Dan,12,3,0,0,0
10,David,2,3,0,0,0
10,Helena,3,3,0,0,0
10,Henry,4,3,0,1,0
10,Jamie,11,3,0,0,0
10,Michael,5,3,1,0,1
10,Michelle,6,3,0,0,0
10,Phil,7,3,0,0,0
10,Priya,8,3,0,0,0
10,Rosie,9,3,0,0,0
10,Steph,10,3,0,0,1
10,Alice,0,4,0,0,0
10,Amelia,1,4,0,0,0
10,Dan,12,4,0,0,0
10,David,2,4,0,0,1
10,Helena,3,4,0,0,0
10,Henry,4,4,0,0,0
10,Jamie,11,4,0,0,0
10,Michael,5,4,0,1,0
10,Michelle,6,4,0,0,0
10,Phil,7,4,0,1,0
10,Priya,8,4,0,1,0
10,Rosie,9,4,0,0,0
10,Steph,10,4,1,0,1
10,Alice,0,5,0,0,0
10,Amelia,1,5,0,0,0
10,Dan,12,5,0,0,0
10,David,2,5,0,0,1
10,Helena,3,5,0,1,0
10,Henry,4,5,0,0,1
10,Jamie,11,5,0,0,0
10,Michael,5,5,0,0,0
10,Michelle,6,5,0,1,0
10,Phil,7,5,0,0,0
10,Priya,8,5,0,1,0
10,Rosie,9,5,0,1,0
10,Steph,10,5,1,0,1
10,Alice,0,6,0,0,1
10,Amelia,1,6,0,0,0
10,Dan,12,6,0,0,0
10,David,2,6,0,0,0
10,Helena,3,6,0,0,0
10,Henry,4,6,0,1,0
10,Jamie,11,6,0,0,0
10,Michael,5,6,0,1,0
10,Michelle,6,6,0,0,0
10,Phil,7,6,0,0,0
10,Priya,8,6,0,1,0
10,Rosie,9,6,0,1,0
10,Steph,10,6,1,0,1
10,Alice,0,7,0,0,0
10,Amelia,1,7,0,0,0
10,Dan,12,7,0,0,0
10,David,2,7,0,0,1
10,Helena,3,7,0,0,0
10,Henry,4,7,1,0,1
10,Jamie,11,7,0,0,0
10,Michael,5,7,0,1,0
10,Michelle,6,7,0,0,0
10,Phil,7,7,0,0,0
10,Priya,8,7,0,0,0
10,Rosie,9,7,0,1,0
10,Steph,10,7,0,0,1
10,Alice,0,8,0,0,0
10,Amelia,1,8,0,0,0
10,Dan,12,8,0,0,0
10,David,2,8,0,0,1
10,Helena,3,8,0,0,0
10,Henry,4,8,0,1,0
10,Jamie,11,8,0,0,0
10,Michael,5,8,0,0,0
10,Michelle,6,8,0,0,0
10,Phil,7,8,0,0,0
10,Priya,8,8,0,0,0
10,Rosie,9,8,0,1,0
10,Steph,10,8,1,0,1
10,Alice,0,9,1,0,1
10,Amelia,1,9,0,0,0
10,Dan,12,9,0,0,0
10,David,2,9,0,0,0
10,Helena,3,9,0,0,0
10,Henry,4,9,0,0,0
10,Jamie,11,9,0,0,0
10,Michael,5,9,0,0,0
10,Michelle,6,9,0,0,0
10,Phil,7,9,0,0,0
10,Priya,8,9,0,0,0
10,Rosie,9,9,0,1,0
10,Steph,10,9,0,0,1
10,Alice,0,10,0,0,0
10,Amelia,1,10,0,0,0
10,Dan,12,10,0,0,0
10,David,2,10,0,0,0
10,Helena,3,10,0,0,0
10,Henry,4,10,0,0,0
10,Jamie,11,10,0,0,0
10,Michael,5,10,0,0,0
10,Michelle,6,10,0,0,0
10,Phil,7,10,0,0,0
10,Priya,8,10,0,0,0
10,Rosie,9,10,0,0,0
10,Steph,10,10,0,0,0
