season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
11	Dave	1	0	0.0	0	0.0	0	0.0	0	0.0	0
11	Dave	2	0	0.0	0	0.5	1	0.5	1	0.0	0
11	Dave	3	0	0.0	0	0.33	0	0.33	0	0.33	1
11	Dave	4	0	0.0	0	0.25	0	0.25	0	0.25	0
11	Dave	5	0	0.0	0	0.2	0	0.4	1	0.2	0
11	Dave	6	0	0.5	3	0.17	0	0.5	1	0.17	0
11	Dave	7	0	1.29	6	0.14	0	0.43	0	0.14	0
11	Dave	8	0	1.75	5	0.13	0	0.38	0	0.13	0
11	Dave	9	0	1.89	3	0.11	0	0.44	1	0.11	0
11	Dave	10	0	1.8	1	0.1	0	0.4	0	0.1	0
11	Hermine	1	0	5.0	5	0.0	0	1.0	1	0.0	0
11	Hermine	2	0	5.0	5	0.0	0	0.5	0	0.0	0
11	Hermine	3	0	5.67	7	0.0	0	0.33	0	0.0	0
11	Hermine	4	0	5.5	5	0.0	0	0.25	0	0.0	0
11	Hermine	5	0	4.8	2	0.0	0	0.4	1	0.0	0
11	Hermine	6	0	4.67	4	0.0	0	0.33	0	0.17	1
11	Hermine	7	0	4.14	1	0.14	1	0.43	1	0.14	0
11	Hermine	8	0	4.0	3	0.25	1	0.5	1	0.13	0
11	Hermine	9	0	3.78	2	0.22	0	0.44	0	0.22	1
11	Hermine	10	0	3.4	0	0.2	0	0.4	0	0.2	0
11	Laura	1	0	6.0	6	0.0	0	0.0	0	0.0	0
11	Laura	2	0	6.5	7	0.0	0	0.0	0	0.0	0
11	Laura	3	0	6.33	6	0.0	0	0.0	0	0.0	0
11	Laura	4	0	5.25	2	0.0	0	0.0	0	0.0	0
11	Laura	5	0	5.4	6	0.2	1	0.2	1	0.0	0
11	Laura	6	0	5.67	7	0.17	0	0.17	0	0.17	1
11	Laura	7	0	5.43	4	0.14	0	0.14	0	0.29	1
11	Laura	8	0	4.88	1	0.13	0	0.25	1	0.25	0
11	Laura	9	0	4.78	4	0.11	0	0.22	0	0.33	1
11	Laura	10	0	4.6	3	0.1	0	0.2	0	0.3	0
11	Linda	1	0	12.0	12	0.0	0	0.0	0	1.0	1
11	Linda	2	0	8.0	4	0.0	0	0.0	0	0.5	0
11	Linda	3	0	5.67	1	0.0	0	0.0	0	0.33	0
11	Linda	4	0	4.5	1	0.0	0	0.0	0	0.25	0
11	Linda	5	0	5.2	8	0.0	0	0.0	0	0.4	1
11	Linda	6	0	4.33	0	0.0	0	0.0	0	0.33	0
11	Linda	7	0	3.71	0	0.0	0	0.0	0	0.43	1
11	Linda	8	0	3.25	0	0.0	0	0.0	0	0.38	0
11	Linda	9	0	2.89	0	0.0	0	0.0	0	0.33	0
11	Linda	10	0	2.6	0	0.0	0	0.0	0	0.3	0
11	Loriea	1	1	10.0	10	0.0	0	0.0	0	1.0	1
11	Loriea	2	1	5.0	0	0.0	0	0.0	0	0.5	0
11	Loriea	3	1	3.33	0	0.0	0	0.0	0	0.33	0
11	Loriea	4	1	2.5	0	0.0	0	0.0	0	0.25	0
11	Loriea	5	1	2.0	0	0.0	0	0.0	0	0.2	0
11	Loriea	6	1	1.67	0	0.0	0	0.0	0	0.17	0
11	Loriea	7	1	1.43	0	0.0	0	0.0	0	0.14	0
11	Loriea	8	1	1.25	0	0.0	0	0.0	0	0.13	0
11	Loriea	9	1	1.11	0	0.0	0	0.0	0	0.11	0
11	Loriea	10	1	1.0	0	0.0	0	0.0	0	0.1	0
11	Lottie	1	0	4.0	4	0.0	0	0.0	0	0.0	0
11	Lottie	2	0	6.0	8	0.0	0	0.0	0	0.0	0
11	Lottie	3	0	5.67	5	0.0	0	0.0	0	0.0	0
11	Lottie	4	0	6.5	9	0.0	0	0.0	0	0.25	1
11	Lottie	5	0	6.0	4	0.0	0	0.0	0	0.2	0
11	Lottie	6	0	5.33	2	0.17	1	0.17	1	0.17	0
11	Lottie	7	0	5.29	5	0.14	0	0.14	0	0.14	0
11	Lottie	8	0	4.63	0	0.13	0	0.13	0	0.13	0
11	Lottie	9	0	4.11	0	0.11	0	0.11	0	0.11	0
11	Lottie	10	0	3.7	0	0.1	0	0.1	0	0.1	0
11	Mak	1	2	8.0	8	0.0	0	0.0	0	0.0	0
11	Mak	2	2	5.5	3	0.0	0	0.0	0	0.5	1
11	Mak	3	2	3.67	0	0.0	0	0.0	0	0.33	0
11	Mak	4	2	2.75	0	0.0	0	0.0	0	0.25	0
11	Mak	5	2	2.2	0	0.0	0	0.0	0	0.2	0
11	Mak	6	2	1.83	0	0.0	0	0.0	0	0.17	0
11	Mak	7	2	1.57	0	0.0	0	0.0	0	0.14	0
11	Mak	8	2	1.38	0	0.0	0	0.0	0	0.13	0
11	Mak	9	2	1.22	0	0.0	0	0.0	0	0.11	0
11	Mak	10	2	1.1	0	0.0	0	0.0	0	0.1	0
11	Marc	1	0	11.0	11	0.0	0	0.0	0	1.0	1
11	Marc	2	0	10.0	9	0.0	0	0.5	1	0.5	0
11	Marc	3	0	7.33	2	0.33	1	0.67	1	0.33	0
11	Marc	4	0	7.0	6	0.25	0	0.5	0	0.25	0
11	Marc	5	0	7.0	7	0.2	0	0.4	0	0.4	1
11	Marc	6	0	6.83	6	0.17	0	0.5	1	0.33	0
11	Marc	7	0	6.29	3	0.14	0	0.57	1	0.29	0
11	Marc	8	0	5.75	2	0.13	0	0.5	0	0.38	1
11	Marc	9	0	5.11	0	0.11	0	0.44	0	0.33	0
11	Marc	10	0	4.6	0	0.1	0	0.4	0	0.3	0
11	Mark	1	0	7.0	7	0.0	0	0.0	0	0.0	0
11	Mark	2	0	4.5	2	0.0	0	0.5	1	0.0	0
11	Mark	3	0	4.0	3	0.0	0	0.33	0	0.0	0
11	Mark	4	0	3.75	3	0.25	1	0.5	1	0.0	0
11	Mark	5	0	3.6	3	0.2	0	0.4	0	0.2	1
11	Mark	6	0	3.83	5	0.17	0	0.33	0	0.33	1
11	Mark	7	0	3.29	0	0.14	0	0.29	0	0.29	0
11	Mark	8	0	2.88	0	0.13	0	0.25	0	0.25	0
11	Mark	9	0	2.56	0	0.11	0	0.22	0	0.22	0
11	Mark	10	0	2.3	0	0.1	0	0.2	0	0.2	0
11	Peter	1	0	2.0	2	1.0	1	1.0	1	0.0	0
11	Peter	2	0	6.0	10	0.5	0	0.5	0	0.0	0
11	Peter	3	0	5.33	4	0.33	0	0.33	0	0.33	1
11	Peter	4	0	5.0	4	0.25	0	0.5	1	0.25	0
11	Peter	5	0	4.2	1	0.2	0	0.4	0	0.2	0
11	Peter	6	0	3.67	1	0.17	0	0.33	0	0.17	0
11	Peter	7	0	3.43	2	0.14	0	0.29	0	0.14	0
11	Peter	8	0	3.5	4	0.13	0	0.25	0	0.25	1
11	Peter	9	0	3.22	1	0.22	1	0.33	1	0.22	0
11	Peter	10	0	3.1	2	0.2	0	0.3	0	0.2	0
11	Rowan	1	3	3.0	3	0.0	0	0.0	0	0.0	0
11	Rowan	2	3	7.0	11	0.0	0	0.0	0	0.5	1
11	Rowan	3	3	8.0	10	0.0	0	0.0	0	0.67	1
11	Rowan	4	3	6.0	0	0.0	0	0.0	0	0.5	0
11	Rowan	5	3	4.8	0	0.0	0	0.0	0	0.4	0
11	Rowan	6	3	4.0	0	0.0	0	0.0	0	0.33	0
11	Rowan	7	3	3.43	0	0.0	0	0.0	0	0.29	0
11	Rowan	8	3	3.0	0	0.0	0	0.0	0	0.25	0
11	Rowan	9	3	2.67	0	0.0	0	0.0	0	0.22	0
11	Rowan	10	3	2.4	0	0.0	0	0.0	0	0.2	0
11	Sura	1	4	1.0	1	0.0	0	1.0	1	0.0	0
11	Sura	2	4	3.5	6	0.0	0	0.5	0	0.0	0
11	Sura	3	4	5.0	8	0.0	0	0.67	1	0.0	0
11	Sura	4	4	5.5	7	0.0	0	0.5	0	0.25	1
11	Sura	5	4	4.4	0	0.0	0	0.4	0	0.2	0
11	Sura	6	4	3.67	0	0.0	0	0.33	0	0.17	0
11	Sura	7	4	3.14	0	0.0	0	0.29	0	0.14	0
11	Sura	8	4	2.75	0	0.0	0	0.25	0	0.13	0
11	Sura	9	4	2.44	0	0.0	0	0.22	0	0.11	0
11	Sura	10	4	2.2	0	0.0	0	0.2	0	0.1	0
