season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
11	Dave	2	0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1	7.93	34.72	81.62	8.7	1.75
11	Hermine	2	0	0.10204081632653061	0.4545454545454546	0.0	0.0	1.0	0.0	0.0	0.0	2	7.84	15.25	42.61	21.0	28.54
11	Laura	2	0	0.7272727272727273	0.6363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	4	39.75	2.64	9.89	30.8	19.55
11	Linda	2	0	0.9	0.36363636363636365	0.0	0.0	0.0	0.0	1.0	0.0	4	93.74	0.45	1.57	2.21	2.48
11	Loriea	2	1	0.3636363636363637	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4	88.03	1.63	4.38	3.8	3.78
11	Lottie	2	0	0.5555555555555556	0.7272727272727273	0.0	0.0	0.0	0.0	0.0	0.0	3	27.02	2.87	10.76	39.84	22.38
11	Mak	2	2	0.45555555555555566	0.27272727272727276	0.0	0.0	0.0	0.0	1.0	1.0	4	71.92	1.53	4.8	13.1	10.17
11	Marc	2	0	1.0	0.8181818181818182	0.0	0.0	1.0	1.0	1.0	0.0	4	74.41	2.76	14.02	8.96	2.6
11	Mark	2	0	0.2916666666666667	0.19753086419753085	0.0	0.0	1.0	1.0	0.0	0.0	1	15.08	17.52	57.37	23.2	4.35
11	Peter	2	0	0.5555555555555556	0.9090909090909092	1.0	0.0	1.0	0.0	0.0	0.0	1	14.99	11.73	43.15	19.0	22.87
11	Rowan	2	3	0.8024691358024691	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4	67.66	0.49	2.4	16.93	13.01
11	Sura	2	4	0.18181818181818182	0.5454545454545454	0.0	0.0	1.0	0.0	0.0	0.0	2	7.81	13.61	39.67	21.74	30.77
