season	baker	episode	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
12	Amanda	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.01	11.07	17.03	0.02	82.94
12	Chigs	1	0.8999999999999999	0.8999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	2	0.02	12.46	19.58	0.04	80.36
12	Crystelle	1	0.6862745098039216	0.6862745098039216	0.0	0.0	1.0	1.0	0.0	0.0	2	0.03	18.54	42.24	0.05	57.68
12	Freya	1	0.09999999999999999	0.09999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0	3.58	23.86	45.97	4.2	46.25
12	George	1	0.19999999999999998	0.19999999999999998	0.0	0.0	0.0	0.0	1.0	1.0	2	0.2	11.17	34.81	0.28	64.71
12	Giuseppe	1	0.8148148148148149	0.8148148148148149	0.0	0.0	1.0	1.0	0.0	0.0	2	0.01	16.68	35.95	0.03	64.01
12	Jairzeno	1	0.5	0.5	0.0	0.0	0.0	0.0	1.0	1.0	2	0.05	8.68	26.94	0.08	72.93
12	Lizzie	1	0.30000000000000004	0.30000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	2	1.08	21.9	39.81	1.4	57.7
12	Maggie	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6.1	24.0	47.86	6.83	39.22
12	Rochica	1	0.6000000000000001	0.6000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	2	0.16	17.16	28.89	0.24	70.72
12	Tom	1	0.4	0.4	0.0	0.0	0.0	0.0	1.0	1.0	2	0.08	9.47	29.68	0.13	70.11
