season,baker,index,episode,Starbaker,Bad,Good
12,Amanda,1,1,0,1,0
12,Chigs,2,1,0,0,0
12,Crystelle,3,1,0,0,1
12,Freya,4,1,0,0,1
12,George,5,1,0,1,0
12,Giuseppe,6,1,0,0,1
12,Jairzinho,7,1,0,1,0
12,Jürgen,8,1,1,0,1
12,Lizzie,9,1,0,0,0
12,Maggie,10,1,0,0,1
12,Rochica,11,1,0,0,0
12,Tom,12,1,0,1,0
12,Amanda,1,2,0,1,0
12,Chigs,2,2,0,0,0
12,Crystelle,3,2,0,0,0
12,Freya,4,2,0,0,0
12,George,5,2,0,0,1
12,Giuseppe,6,2,0,0,1
12,Jairzinho,7,2,0,1,0
12,Jürgen,8,2,1,0,1
12,Lizzie,9,2,0,0,0
12,Maggie,10,2,0,1,0
12,Rochica,11,2,0,0,0
12,Tom,12,2,0,0,0
12,Amanda,1,3,0,0,0
12,Chigs,2,3,0,0,0
12,Crystelle,3,3,0,0,0
12,Freya,4,3,0,0,1
12,George,5,3,0,0,0
12,Giuseppe,6,3,1,0,1
12,Jairzinho,7,3,0,0,0
12,Jürgen,8,3,0,0,0
12,Lizzie,9,3,0,0,1
12,Maggie,10,3,0,1,0
12,Rochica,11,3,0,1,0
12,Tom,12,3,0,0,0
