season	baker	index	episode	mean_star	star	mean_good	good	mean_bad	bad	place
13	Abdul	0	1	0	0	0	0	0	0	0
13	Abdul	0	2	0	0	0	0	0	0	0
13	Abdul	0	3	0	0	0	0	0	0	0
13	Carole	0	1	0	0	0	0	0	0	0
13	Carole	0	2	0	0	0	0	0.5	1	0
13	Carole	0	3	0	0	0	0	0.67	1	0
13	Dawn	0	1	0	0	0	0	0	0	0
13	Dawn	0	2	0	0	0	0	0	0	0
13	Dawn	0	3	0	0	0	0	0.33	1	0
13	James	0	1	0	0	0	0	0	0	0
13	James	0	2	0	0	0.5	1	0	0	0
13	James	0	3	0	0	0.33	0	0	0	0
13	Janusz	0	1	1	1	1	1	0	0	0
13	Janusz	0	2	0.5	0	0.5	0	0	0	0
13	Janusz	0	3	0.67	1	0.67	1	0	0	0
13	Kevin	0	1	0	0	0	0	0	0	0
13	Kevin	0	2	0	0	0	0	0	0	0
13	Kevin	0	3	0	0	0	0	0.33	1	0
13	Maisam	0	1	0	0	0	0	1	1	0
13	Maisam	0	2	0	0	0	0	1	1	0
13	Maisam	0	3	0	0	0	0	0.67	0	0
13	Maxy	0	1	0	0	0	0	0	0	0
13	Maxy	0	2	0.5	1	0.5	1	0	0	0
13	Maxy	0	3	0.33	0	0.33	0	0	0	0
13	Rebs	0	1	0	0	0	0	1	1	0
13	Rebs	0	2	0	0	0	0	1	1	0
13	Rebs	0	3	0	0	0	0	0.67	0	0
13	Sandro	0	1	0	0	1	1	0	0	0
13	Sandro	0	2	0	0	0.5	0	0	0	0
13	Sandro	0	3	0	0	0.67	1	0	0	0
13	Syabira	0	1	0	0	1	1	0	0	0
13	Syabira	0	2	0	0	1	1	0	0	0
13	Syabira	0	3	0	0	1	1	0	0	0
13	Will	0	1	0	0	0	0	1	1	0
13	Will	0	2	0	0	0	0	0.5	0	0
13	Will	0	3	0	0	0	0	0.33	0	0
