season	baker	index	episode	tech_mean	tech_med	tech	place
13	Abdul	0	1	6	6	6	0
13	Abdul	0	2	8.5	8.5	11	0
13	Abdul	0	3	5.67	6	0	0
13	Abdul	0	4	5.75	6	6	0
13	Carole	0	1	8	8	8	0
13	Carole	0	2	6	6	4	0
13	Carole	0	3	6.67	8	8	0
13	Carole	0	4	7.5	8	10	0
13	Dawn	0	1	3	3	3	0
13	Dawn	0	2	6	6	9	0
13	Dawn	0	3	6	6	6	0
13	Dawn	0	4	5.75	5.5	5	0
13	James	0	1	12	12	12	0
13	James	0	2	7	7	2	0
13	James	0	3	5.67	3	3	0
13	James	0	4	6.25	5.5	8	0
13	Janusz	0	1	7	7	7	0
13	Janusz	0	2	6.5	6.5	6	0
13	Janusz	0	3	4.67	6	1	0
13	Janusz	0	4	5.25	6.5	7	0
13	Kevin	0	1	4	4	4	0
13	Kevin	0	2	6	6	8	0
13	Kevin	0	3	6.33	7	7	0
13	Kevin	0	4	5.75	5.5	4	0
13	Maisam	0	1	5	5	5	0
13	Maisam	0	2	6	6	7	0
13	Maisam	0	3	4	5	0	0
13	Maisam	0	4	3	2.5	0	0
13	Maxy	0	1	10	10	10	0
13	Maxy	0	2	7.5	7.5	5	0
13	Maxy	0	3	5.67	5	2	0
13	Maxy	0	4	4.5	3.5	1	0
13	Rebs	0	1	11	11	11	0
13	Rebs	0	2	6	6	1	0
13	Rebs	0	3	4	1	0	0
13	Rebs	0	4	5.25	5	9	0
13	Sandro	0	1	2	2	2	0
13	Sandro	0	2	2.5	2.5	3	0
13	Sandro	0	3	3	3	4	0
13	Sandro	0	4	3	3	3	0
13	Syabira	0	1	1	1	1	0
13	Syabira	0	2	5.5	5.5	10	0
13	Syabira	0	3	5.33	5	5	0
13	Syabira	0	4	4.5	3.5	2	0
13	Will	0	1	9	9	9	0
13	Will	0	2	4.5	4.5	0	0
13	Will	0	3	3	0	0	0
13	Will	0	4	2.25	0	0	0
