cd,baker,index,episode,Starbaker,Bad,Good
13,Abdul,0,1,0,0,0
13,Carole,1,1,0,0,0
13,Dawn,2,1,0,0,0
13,James,3,1,0,0,0
13,Janusz,4,1,1,0,1
13,Kevin,5,1,0,0,0
13,Maxy,6,1,0,0,0
13,Rebs,7,1,0,1,0
13,Sandro,8,1,0,0,1
13,Syabira,9,1,0,0,1
13,Maisam,10,1,0,1,0
13,Will,11,1,0,1,0
13,Abdul,0,2,0,0,0
13,Carole,1,2,0,1,0
13,Dawn,2,2,0,0,0
13,James,3,2,0,0,1
13,Janusz,4,2,0,0,0
13,Kevin,5,2,0,0,0
13,Maxy,6,2,1,0,1
13,Rebs,7,2,0,1,0
13,Sandro,8,2,0,0,0
13,Syabira,9,2,0,0,1
13,Maisam,10,2,0,1,0
13,Will,11,2,0,0,0
13,Abdul,0,3,0,0,0
13,Carole,1,3,0,1,0
13,Dawn,2,3,0,1,0
13,James,3,3,0,0,0
13,Janusz,4,3,1,0,1
13,Kevin,5,3,0,1,0
13,Maxy,6,3,0,0,0
13,Rebs,7,3,0,0,0
13,Sandro,8,3,0,0,1
13,Syabira,9,3,0,0,1
13,Maisam,10,3,0,0,0
13,Will,11,3,0,0,0
13,Abdul,0,4,0,0,0
13,Carole,1,4,0,1,0
13,Dawn,2,4,0,0,1
13,James,3,4,0,1,0
13,Janusz,4,4,0,0,1
13,Kevin,5,4,0,0,0
13,Maxy,6,4,1,0,1
13,Rebs,7,4,0,1,0
13,Sandro,8,4,0,0,1
13,Syabira,9,4,0,0,0
13,Maisam,10,4,0,0,0
13,Will,11,4,0,0,0
13,Abdul,0,5,0,0,0
13,Carole,1,5,0,0,0
13,Dawn,2,5,0,1,0
13,James,3,5,0,0,0
13,Janusz,4,5,0,0,1
13,Kevin,5,5,0,0,0
13,Maxy,6,5,0,0,0
13,Rebs,7,5,0,0,0
13,Sandro,8,5,1,0,1
13,Syabira,9,5,0,1,0
13,Maisam,10,5,0,0,0
13,Will,11,5,0,0,0
13,Abdul,0,6,0,0,0
13,Carole,1,6,0,0,0
13,Dawn,2,6,0,1,0
13,James,3,6,0,0,0
13,Janusz,4,6,0,0,0
13,Kevin,5,6,0,1,0
13,Maxy,6,6,0,0,0
13,Rebs,7,6,0,0,0
13,Sandro,8,6,0,0,0
13,Syabira,9,6,1,0,1
13,Maisam,10,6,0,0,0
13,Will,11,6,0,0,0
13,Abdul,0,7,0,0,0
13,Carole,1,7,0,0,0
13,Dawn,2,7,0,0,0
13,James,3,7,0,0,0
13,Janusz,4,7,0,1,0
13,Kevin,5,7,0,1,0
13,Maxy,6,7,0,0,0
13,Rebs,7,7,0,0,0
13,Sandro,8,7,0,0,1
13,Syabira,9,7,1,0,1
13,Maisam,10,7,0,0,0
13,Will,11,7,0,0,0
13,Abdul,0,8,0,0,1
13,Carole,1,8,0,0,0
13,Dawn,2,8,0,0,0
13,James,3,8,0,0,0
13,Janusz,4,8,0,0,0
13,Kevin,5,8,0,0,0
13,Maxy,6,8,0,1,0
13,Rebs,7,8,0,0,0
13,Sandro,8,8,0,1,0
13,Syabira,9,8,1,0,1
13,Maisam,10,8,0,0,0
13,Will,11,8,0,0,0
