baker	week	key	lab
David	1	10	week_eliminated
Alice	1	10	week_eliminated
Steph	1	10	week_eliminated
Rosie	1	9	week_eliminated
Henry	1	8	week_eliminated
Michael	1	7	week_eliminated
Priya	1	6	week_eliminated
Helena	1	5	week_eliminated
Michelle	1	5	week_eliminated
Phil	1	4	week_eliminated
Amelia	1	3	week_eliminated
Jamie	1	2	week_eliminated
Dan	1	1	week_eliminated
David	2	2	deepbake_eliminated
Alice	2	1	deepbake_eliminated
Steph	2	1	deepbake_eliminated
Rosie	2	1	deepbake_eliminated
Henry	2	0	deepbake_eliminated
Michael	2	0	deepbake_eliminated
Priya	2	1	deepbake_eliminated
Helena	2	1	deepbake_eliminated
Michelle	2	0	deepbake_eliminated
Phil	2	1	deepbake_eliminated
Amelia	2	1	deepbake_eliminated
Jamie	2	1	deepbake_eliminated
Dan	2	0	deepbake_eliminated
David	3	0	deepbake_tier
Alice	3	1	deepbake_tier
Steph	3	1	deepbake_tier
Rosie	3	2	deepbake_tier
Henry	3	2	deepbake_tier
Michael	3	3	deepbake_tier
Priya	3	3	deepbake_tier
Helena	3	3	deepbake_tier
Michelle	3	3	deepbake_tier
Phil	3	4	deepbake_tier
Amelia	3	4	deepbake_tier
Jamie	3	4	deepbake_tier
Dan	3	4	deepbake_tier
David	4	1	deepbake_prediction
Alice	4	1	deepbake_prediction
Steph	4	1	deepbake_prediction
Rosie	4	2	deepbake_prediction
Henry	4	2	deepbake_prediction
Michael	4	3	deepbake_prediction
Priya	4	4	deepbake_prediction
Helena	4	3	deepbake_prediction
Michelle	4	3	deepbake_prediction
Phil	4	4	deepbake_prediction
Amelia	4	4	deepbake_prediction
Jamie	4	4	deepbake_prediction
Dan	4	4	deepbake_prediction
