season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
1	Annetha	1	6	2.0	2	0.0	0	1.0	1	0.0	0
1	Annetha	2	6	4.5	7	0.0	0	0.5	0	0.5	1
1	Annetha	3	6	3.0	0	0.0	0	0.33	0	0.33	0
1	Annetha	4	6	2.25	0	0.0	0	0.25	0	0.25	0
1	Annetha	5	6	1.8	0	0.0	0	0.2	0	0.2	0
1	Annetha	6	6	1.5	0	0.0	0	0.17	0	0.17	0
1	David	1	4	3.0	3	0.0	0	0.0	0	1.0	1
1	David	2	4	5.5	8	0.0	0	0.0	0	1.0	1
1	David	3	4	5.0	4	0.0	0	0.0	0	1.0	1
1	David	4	4	5.0	5	0.0	0	0.0	0	1.0	1
1	David	5	4	4.0	0	0.0	0	0.0	0	0.8	0
1	David	6	4	3.33	0	0.0	0	0.0	0	0.67	0
1	Edd	1	1	1.0	1	0.0	0	0.0	0	0.0	0
1	Edd	2	1	3.5	6	0.0	0	0.5	1	0.0	0
1	Edd	3	1	2.67	1	0.0	0	0.67	1	0.0	0
1	Edd	4	1	2.75	3	0.0	0	0.5	0	0.25	1
1	Edd	5	1	2.6	2	0.0	0	0.6	1	0.2	0
1	Edd	6	1	2.17	0	0.0	0	0.5	0	0.17	0
1	Jasminder	1	3	0.0	0	0.0	0	0.0	0	0.0	0
1	Jasminder	2	3	1.0	2	0.0	0	0.0	0	0.0	0
1	Jasminder	3	3	0.67	0	0.0	0	0.0	0	0.33	1
1	Jasminder	4	3	1.0	2	0.0	0	0.25	1	0.25	0
1	Jasminder	5	3	1.6	4	0.0	0	0.2	0	0.4	1
1	Jasminder	6	3	1.33	0	0.0	0	0.17	0	0.33	0
1	Jonathan	1	5	9.0	9	0.0	0	0.0	0	0.0	0
1	Jonathan	2	5	5.0	1	0.0	0	0.5	1	0.0	0
1	Jonathan	3	5	5.33	6	0.0	0	0.33	0	0.33	1
1	Jonathan	4	5	4.0	0	0.0	0	0.25	0	0.25	0
1	Jonathan	5	5	3.2	0	0.0	0	0.2	0	0.2	0
1	Jonathan	6	5	2.67	0	0.0	0	0.17	0	0.17	0
1	Lea	1	8	10.0	10	0.0	0	0.0	0	1.0	1
1	Lea	2	8	5.0	0	0.0	0	0.0	0	0.5	0
1	Lea	3	8	3.33	0	0.0	0	0.0	0	0.33	0
1	Lea	4	8	2.5	0	0.0	0	0.0	0	0.25	0
1	Lea	5	8	2.0	0	0.0	0	0.0	0	0.2	0
1	Lea	6	8	1.67	0	0.0	0	0.0	0	0.17	0
1	Louise	1	7	0.0	0	0.0	0	0.0	0	1.0	1
1	Louise	2	7	2.0	4	0.0	0	0.0	0	1.0	1
1	Louise	3	7	1.33	0	0.0	0	0.0	0	0.67	0
1	Louise	4	7	1.0	0	0.0	0	0.0	0	0.5	0
1	Louise	5	7	0.8	0	0.0	0	0.0	0	0.4	0
1	Louise	6	7	0.67	0	0.0	0	0.0	0	0.33	0
1	Mark	1	9	0.0	0	0.0	0	0.0	0	1.0	1
1	Mark	2	9	0.0	0	0.0	0	0.0	0	0.5	0
1	Mark	3	9	0.0	0	0.0	0	0.0	0	0.33	0
1	Mark	4	9	0.0	0	0.0	0	0.0	0	0.25	0
1	Mark	5	9	0.0	0	0.0	0	0.0	0	0.2	0
1	Mark	6	9	0.0	0	0.0	0	0.0	0	0.17	0
1	Miranda	1	2	0.0	0	0.0	0	1.0	1	0.0	0
1	Miranda	2	2	1.5	3	0.0	0	1.0	1	0.0	0
1	Miranda	3	2	2.0	3	0.0	0	0.67	0	0.0	0
1	Miranda	4	2	1.75	1	0.0	0	0.75	1	0.0	0
1	Miranda	5	2	1.6	1	0.0	0	0.6	0	0.2	1
1	Miranda	6	2	1.33	0	0.0	0	0.5	0	0.17	0
1	Ruth	1	2	0.0	0	0.0	0	1.0	1	0.0	0
1	Ruth	2	2	2.5	5	0.0	0	0.5	0	0.0	0
1	Ruth	3	2	2.33	2	0.0	0	0.67	1	0.0	0
1	Ruth	4	2	2.75	4	0.0	0	0.75	1	0.0	0
1	Ruth	5	2	2.8	3	0.0	0	0.8	1	0.0	0
1	Ruth	6	2	2.33	0	0.0	0	0.67	0	0.0	0
2	Ben	1	7	2.0	2	0.0	0	0.0	0	0.0	0
2	Ben	2	7	1.5	1	0.0	0	0.0	0	0.0	0
2	Ben	3	7	2.0	3	0.0	0	0.0	0	0.0	0
2	Ben	4	7	2.75	5	0.0	0	0.0	0	0.0	0
2	Ben	5	7	2.2	0	0.0	0	0.0	0	0.0	0
2	Ben	6	7	1.83	0	0.0	0	0.0	0	0.0	0
2	Ben	7	7	1.57	0	0.0	0	0.0	0	0.0	0
2	Ben	8	7	1.38	0	0.0	0	0.0	0	0.0	0
2	Holly	1	2	1.0	1	1.0	1	1.0	1	0.0	0
2	Holly	2	2	2.5	4	0.5	0	0.5	0	0.0	0
2	Holly	3	2	3.67	6	0.33	0	0.33	0	0.0	0
2	Holly	4	2	3.5	3	0.5	1	0.5	1	0.0	0
2	Holly	5	2	3.6	4	0.4	0	0.4	0	0.0	0
2	Holly	6	2	3.5	3	0.33	0	0.33	0	0.17	1
2	Holly	7	2	3.14	1	0.29	0	0.43	1	0.14	0
2	Holly	8	2	3.0	2	0.25	0	0.38	0	0.13	0
2	Ian	1	8	10.0	10	0.0	0	0.0	0	0.0	0
2	Ian	2	8	6.0	2	0.0	0	0.5	1	0.0	0
2	Ian	3	8	7.33	10	0.0	0	0.33	0	0.0	0
2	Ian	4	8	5.5	0	0.0	0	0.25	0	0.0	0
2	Ian	5	8	4.4	0	0.0	0	0.2	0	0.0	0
2	Ian	6	8	3.67	0	0.0	0	0.17	0	0.0	0
2	Ian	7	8	3.14	0	0.0	0	0.14	0	0.0	0
2	Ian	8	8	2.75	0	0.0	0	0.13	0	0.0	0
2	Janet	1	3	8.0	8	0.0	0	0.0	0	0.0	0
2	Janet	2	3	8.0	8	0.0	0	0.0	0	0.0	0
2	Janet	3	3	8.0	8	0.0	0	0.0	0	0.33	1
2	Janet	4	3	7.0	4	0.0	0	0.0	0	0.25	0
2	Janet	5	3	5.8	1	0.2	1	0.2	1	0.2	0
2	Janet	6	3	5.67	5	0.17	0	0.33	1	0.17	0
2	Janet	7	3	5.43	4	0.14	0	0.29	0	0.14	0
2	Janet	8	3	4.75	0	0.13	0	0.25	0	0.13	0
2	Jason	1	5	6.0	6	0.0	0	0.0	0	0.0	0
2	Jason	2	5	4.5	3	0.5	1	0.5	1	0.0	0
2	Jason	3	5	5.33	7	0.33	0	0.33	0	0.0	0
2	Jason	4	5	4.25	1	0.5	1	0.5	1	0.0	0
2	Jason	5	5	4.8	7	0.4	0	0.4	0	0.0	0
2	Jason	6	5	4.0	0	0.33	0	0.33	0	0.0	0
2	Jason	7	5	3.43	0	0.29	0	0.29	0	0.0	0
2	Jason	8	5	3.0	0	0.25	0	0.25	0	0.0	0
2	Jo	1	1	11.0	11	0.0	0	1.0	1	0.0	0
2	Jo	2	1	5.5	0	0.0	0	0.5	0	0.5	1
2	Jo	3	1	3.67	0	0.0	0	0.33	0	0.33	0
2	Jo	4	1	2.75	0	0.0	0	0.25	0	0.25	0
2	Jo	5	1	2.2	0	0.0	0	0.2	0	0.2	0
2	Jo	6	1	2.0	1	0.17	1	0.33	1	0.17	0
2	Jo	7	1	1.71	0	0.14	0	0.43	1	0.14	0
2	Jo	8	1	1.5	0	0.13	0	0.38	0	0.13	0
2	Keith	1	11	12.0	12	0.0	0	0.0	0	0.0	0
2	Keith	2	11	6.0	0	0.0	0	0.0	0	0.0	0
2	Keith	3	11	4.0	0	0.0	0	0.0	0	0.0	0
2	Keith	4	11	3.0	0	0.0	0	0.0	0	0.0	0
2	Keith	5	11	2.4	0	0.0	0	0.0	0	0.0	0
2	Keith	6	11	2.0	0	0.0	0	0.0	0	0.0	0
2	Keith	7	11	1.71	0	0.0	0	0.0	0	0.0	0
2	Keith	8	11	1.5	0	0.0	0	0.0	0	0.0	0
2	Mary-Anne	1	2	4.0	4	0.0	0	0.0	0	0.0	0
2	Mary-Anne	2	2	6.5	9	0.0	0	0.0	0	0.0	0
2	Mary-Anne	3	2	6.0	5	0.0	0	0.33	1	0.0	0
2	Mary-Anne	4	2	5.0	2	0.0	0	0.5	1	0.0	0
2	Mary-Anne	5	2	4.4	2	0.0	0	0.6	1	0.0	0
2	Mary-Anne	6	2	4.33	4	0.0	0	0.67	1	0.0	0
2	Mary-Anne	7	2	4.0	2	0.0	0	0.57	0	0.14	1
2	Mary-Anne	8	2	3.88	3	0.0	0	0.5	0	0.13	0
2	Robert	1	6	3.0	3	0.0	0	0.0	0	1.0	1
2	Robert	2	6	4.0	5	0.0	0	0.0	0	1.0	1
2	Robert	3	6	4.0	4	0.0	0	0.0	0	1.0	1
2	Robert	4	6	4.75	7	0.0	0	0.0	0	0.75	0
2	Robert	5	6	4.4	3	0.0	0	0.0	0	0.6	0
2	Robert	6	6	3.67	0	0.0	0	0.0	0	0.5	0
2	Robert	7	6	3.14	0	0.0	0	0.0	0	0.43	0
2	Robert	8	6	2.75	0	0.0	0	0.0	0	0.38	0
2	Simon	1	10	9.0	9	0.0	0	0.0	0	1.0	1
2	Simon	2	10	10.0	11	0.0	0	0.0	0	0.5	0
2	Simon	3	10	6.67	0	0.0	0	0.0	0	0.33	0
2	Simon	4	10	5.0	0	0.0	0	0.0	0	0.25	0
2	Simon	5	10	4.0	0	0.0	0	0.0	0	0.2	0
2	Simon	6	10	3.33	0	0.0	0	0.0	0	0.17	0
2	Simon	7	10	2.86	0	0.0	0	0.0	0	0.14	0
2	Simon	8	10	2.5	0	0.0	0	0.0	0	0.13	0
2	Urvashi	1	9	7.0	7	0.0	0	0.0	0	0.0	0
2	Urvashi	2	9	7.0	7	0.0	0	0.0	0	0.0	0
2	Urvashi	3	9	7.67	9	0.0	0	0.0	0	0.0	0
2	Urvashi	4	9	5.75	0	0.0	0	0.0	0	0.0	0
2	Urvashi	5	9	4.6	0	0.0	0	0.0	0	0.0	0
2	Urvashi	6	9	3.83	0	0.0	0	0.0	0	0.0	0
2	Urvashi	7	9	3.29	0	0.0	0	0.0	0	0.0	0
2	Urvashi	8	9	2.88	0	0.0	0	0.0	0	0.0	0
2	Yasmin	1	4	5.0	5	0.0	0	0.0	0	0.0	0
2	Yasmin	2	4	5.5	6	0.0	0	0.0	0	0.0	0
2	Yasmin	3	4	4.33	2	0.33	1	0.33	1	0.0	0
2	Yasmin	4	4	4.75	6	0.25	0	0.25	0	0.25	1
2	Yasmin	5	4	4.8	5	0.2	0	0.2	0	0.4	1
2	Yasmin	6	4	4.33	2	0.17	0	0.17	0	0.33	0
