season	baker	index	episode	mean_star	star	mean_good	good	mean_bad	bad	place
1	Annetha	6	1	0	0	1	1	0	0	6
1	Annetha	6	2	0	0	0.5	0	0.5	1	6
1	Annetha	6	3	0	0	0.33	0	0.33	0	6
1	Annetha	6	4	0	0	0.25	0	0.25	0	6
1	Annetha	6	5	0	0	0.2	0	0.2	0	6
1	Annetha	6	6	0	0	0.17	0	0.17	0	6
1	David	4	1	0	0	0	0	1	1	4
1	David	4	2	0	0	0	0	1	1	4
1	David	4	3	0	0	0	0	1	1	4
1	David	4	4	0	0	0	0	1	1	4
1	David	4	5	0	0	0	0	0.8	0	4
1	David	4	6	0	0	0	0	0.67	0	4
1	Edd	0	1	0	0	0	0	0	0	1
1	Edd	0	2	0	0	0.5	1	0	0	1
1	Edd	0	3	0	0	0.67	1	0	0	1
1	Edd	0	4	0	0	0.5	0	0.25	1	1
1	Edd	0	5	0	0	0.6	1	0.2	0	1
1	Edd	0	6	0	0	0.5	0	0.17	0	1
1	Jasminder	3	1	0	0	0	0	0	0	3
1	Jasminder	3	2	0	0	0	0	0	0	3
1	Jasminder	3	3	0	0	0	0	0.33	1	3
1	Jasminder	3	4	0	0	0.25	1	0.25	0	3
1	Jasminder	3	5	0	0	0.2	0	0.4	1	3
1	Jasminder	3	6	0	0	0.17	0	0.33	0	3
1	Jonathan	5	1	0	0	0	0	0	0	5
1	Jonathan	5	2	0	0	0.5	1	0	0	5
1	Jonathan	5	3	0	0	0.33	0	0.33	1	5
1	Jonathan	5	4	0	0	0.25	0	0.25	0	5
1	Jonathan	5	5	0	0	0.2	0	0.2	0	5
1	Jonathan	5	6	0	0	0.17	0	0.17	0	5
1	Lea	8	1	0	0	0	0	1	1	8
1	Lea	8	2	0	0	0	0	0.5	0	8
1	Lea	8	3	0	0	0	0	0.33	0	8
1	Lea	8	4	0	0	0	0	0.25	0	8
1	Lea	8	5	0	0	0	0	0.2	0	8
1	Lea	8	6	0	0	0	0	0.17	0	8
1	Louise	7	1	0	0	0	0	1	1	7
1	Louise	7	2	0	0	0	0	1	1	7
1	Louise	7	3	0	0	0	0	0.67	0	7
1	Louise	7	4	0	0	0	0	0.5	0	7
1	Louise	7	5	0	0	0	0	0.4	0	7
1	Louise	7	6	0	0	0	0	0.33	0	7
1	Mark	9	1	0	0	0	0	1	1	9
1	Mark	9	2	0	0	0	0	0.5	0	9
1	Mark	9	3	0	0	0	0	0.33	0	9
1	Mark	9	4	0	0	0	0	0.25	0	9
1	Mark	9	5	0	0	0	0	0.2	0	9
1	Mark	9	6	0	0	0	0	0.17	0	9
1	Miranda	2	1	0	0	1	1	0	0	2
1	Miranda	2	2	0	0	1	1	0	0	2
1	Miranda	2	3	0	0	0.67	0	0	0	2
1	Miranda	2	4	0	0	0.75	1	0	0	2
1	Miranda	2	5	0	0	0.6	0	0.2	1	2
1	Miranda	2	6	0	0	0.5	0	0.17	0	2
1	Ruth	1	1	0	0	1	1	0	0	2
1	Ruth	1	2	0	0	0.5	0	0	0	2
1	Ruth	1	3	0	0	0.67	1	0	0	2
1	Ruth	1	4	0	0	0.75	1	0	0	2
1	Ruth	1	5	0	0	0.8	1	0	0	2
1	Ruth	1	6	0	0	0.67	0	0	0	2
2	Ben	17	1	0	0	0	0	0	0	7
2	Ben	17	2	0	0	0	0	0	0	7
2	Ben	17	3	0	0	0	0	0	0	7
2	Ben	17	4	0	0	0	0	0	0	7
2	Ben	17	5	0	0	0	0	0	0	7
2	Ben	17	6	0	0	0	0	0	0	7
2	Ben	17	7	0	0	0	0	0	0	7
2	Ben	17	8	0	0	0	0	0	0	7
2	Holly	11	1	1	1	1	1	0	0	2
2	Holly	11	2	0.5	0	0.5	0	0	0	2
2	Holly	11	3	0.33	0	0.33	0	0	0	2
2	Holly	11	4	0.5	1	0.5	1	0	0	2
2	Holly	11	5	0.4	0	0.4	0	0	0	2
2	Holly	11	6	0.33	0	0.33	0	0.17	1	2
2	Holly	11	7	0.29	0	0.43	1	0.14	0	2
2	Holly	11	8	0.25	0	0.38	0	0.13	0	2
2	Ian	18	1	0	0	0	0	0	0	8
2	Ian	18	2	0	0	0.5	1	0	0	8
2	Ian	18	3	0	0	0.33	0	0	0	8
2	Ian	18	4	0	0	0.25	0	0	0	8
2	Ian	18	5	0	0	0.2	0	0	0	8
2	Ian	18	6	0	0	0.17	0	0	0	8
2	Ian	18	7	0	0	0.14	0	0	0	8
2	Ian	18	8	0	0	0.13	0	0	0	8
2	Janet	13	1	0	0	0	0	0	0	3
2	Janet	13	2	0	0	0	0	0	0	3
2	Janet	13	3	0	0	0	0	0.33	1	3
2	Janet	13	4	0	0	0	0	0.25	0	3
2	Janet	13	5	0.2	1	0.2	1	0.2	0	3
2	Janet	13	6	0.17	0	0.33	1	0.17	0	3
2	Janet	13	7	0.14	0	0.29	0	0.14	0	3
2	Janet	13	8	0.13	0	0.25	0	0.13	0	3
2	Jason	15	1	0	0	0	0	0	0	5
2	Jason	15	2	0.5	1	0.5	1	0	0	5
2	Jason	15	3	0.33	0	0.33	0	0	0	5
2	Jason	15	4	0.5	1	0.5	1	0	0	5
2	Jason	15	5	0.4	0	0.4	0	0	0	5
2	Jason	15	6	0.33	0	0.33	0	0	0	5
2	Jason	15	7	0.29	0	0.29	0	0	0	5
2	Jason	15	8	0.25	0	0.25	0	0	0	5
2	Jo	10	1	0	0	1	1	0	0	1
2	Jo	10	2	0	0	0.5	0	0.5	1	1
2	Jo	10	3	0	0	0.33	0	0.33	0	1
2	Jo	10	4	0	0	0.25	0	0.25	0	1
2	Jo	10	5	0	0	0.2	0	0.2	0	1
2	Jo	10	6	0.17	1	0.33	1	0.17	0	1
2	Jo	10	7	0.14	0	0.43	1	0.14	0	1
2	Jo	10	8	0.13	0	0.38	0	0.13	0	1
2	Keith	21	1	0	0	0	0	0	0	11
2	Keith	21	2	0	0	0	0	0	0	11
2	Keith	21	3	0	0	0	0	0	0	11
2	Keith	21	4	0	0	0	0	0	0	11
2	Keith	21	5	0	0	0	0	0	0	11
2	Keith	21	6	0	0	0	0	0	0	11
2	Keith	21	7	0	0	0	0	0	0	11
2	Keith	21	8	0	0	0	0	0	0	11
2	Mary-Anne	12	1	0	0	0	0	0	0	2
2	Mary-Anne	12	2	0	0	0	0	0	0	2
2	Mary-Anne	12	3	0	0	0.33	1	0	0	2
2	Mary-Anne	12	4	0	0	0.5	1	0	0	2
2	Mary-Anne	12	5	0	0	0.6	1	0	0	2
2	Mary-Anne	12	6	0	0	0.67	1	0	0	2
2	Mary-Anne	12	7	0	0	0.57	0	0.14	1	2
2	Mary-Anne	12	8	0	0	0.5	0	0.13	0	2
2	Robert	16	1	0	0	0	0	1	1	6
2	Robert	16	2	0	0	0	0	1	1	6
2	Robert	16	3	0	0	0	0	1	1	6
2	Robert	16	4	0	0	0	0	0.75	0	6
2	Robert	16	5	0	0	0	0	0.6	0	6
2	Robert	16	6	0	0	0	0	0.5	0	6
2	Robert	16	7	0	0	0	0	0.43	0	6
2	Robert	16	8	0	0	0	0	0.38	0	6
2	Simon	20	1	0	0	0	0	1	1	10
2	Simon	20	2	0	0	0	0	0.5	0	10
2	Simon	20	3	0	0	0	0	0.33	0	10
2	Simon	20	4	0	0	0	0	0.25	0	10
2	Simon	20	5	0	0	0	0	0.2	0	10
2	Simon	20	6	0	0	0	0	0.17	0	10
2	Simon	20	7	0	0	0	0	0.14	0	10
2	Simon	20	8	0	0	0	0	0.13	0	10
2	Urvashi	19	1	0	0	0	0	0	0	9
2	Urvashi	19	2	0	0	0	0	0	0	9
2	Urvashi	19	3	0	0	0	0	0	0	9
2	Urvashi	19	4	0	0	0	0	0	0	9
2	Urvashi	19	5	0	0	0	0	0	0	9
2	Urvashi	19	6	0	0	0	0	0	0	9
2	Urvashi	19	7	0	0	0	0	0	0	9
2	Urvashi	19	8	0	0	0	0	0	0	9
2	Yasmin	14	1	0	0	0	0	0	0	4
2	Yasmin	14	2	0	0	0	0	0	0	4
2	Yasmin	14	3	0.33	1	0.33	1	0	0	4
2	Yasmin	14	4	0.25	0	0.25	0	0.25	1	4
2	Yasmin	14	5	0.2	0	0.2	0	0.4	1	4
2	Yasmin	14	6	0.17	0	0.17	0	0.33	0	4
2	Yasmin	14	7	0.14	0	0.14	0	0.29	0	4
2	Yasmin	14	8	0.13	0	0.13	0	0.25	0	4
3	Brendan	23	1	0	0	0	0	0	0	2
3	Brendan	23	10	0.3	0	0.6	0	0.1	0	2
3	Brendan	23	2	0	0	0.5	1	0	0	2
3	Brendan	23	3	0	0	0.33	0	0.33	1	2
3	Brendan	23	4	0.25	1	0.5	1	0.25	0	2
3	Brendan	23	5	0.4	1	0.6	1	0.2	0	2
3	Brendan	23	6	0.5	1	0.67	1	0.17	0	2
3	Brendan	23	7	0.43	0	0.71	1	0.14	0	2
3	Brendan	23	8	0.38	0	0.63	0	0.13	0	2
3	Brendan	23	9	0.33	0	0.67	1	0.11	0	2
3	Cathryn	26	1	0	0	1	1	0	0	4
3	Cathryn	26	10	0	0	0.1	0	0.2	0	4
3	Cathryn	26	2	0	0	0.5	0	0	0	4
3	Cathryn	26	3	0	0	0.33	0	0	0	4
3	Cathryn	26	4	0	0	0.25	0	0	0	4
3	Cathryn	26	5	0	0	0.2	0	0	0	4
3	Cathryn	26	6	0	0	0.17	0	0	0	4
3	Cathryn	26	7	0	0	0.14	0	0.14	1	4
3	Cathryn	26	8	0	0	0.13	0	0.25	1	4
3	Cathryn	26	9	0	0	0.11	0	0.22	0	4
3	Danny	25	1	0	0	0	0	0	0	3
3	Danny	25	10	0.1	0	0.3	0	0.3	0	3
3	Danny	25	2	0	0	0	0	0	0	3
3	Danny	25	3	0	0	0	0	0	0	3
3	Danny	25	4	0	0	0.25	1	0	0	3
3	Danny	25	5	0	0	0.2	0	0.2	1	3
3	Danny	25	6	0	0	0.33	1	0.17	0	3
3	Danny	25	7	0.14	1	0.43	1	0.14	0	3
3	Danny	25	8	0.13	0	0.38	0	0.25	1	3
3	Danny	25	9	0.11	0	0.33	0	0.33	1	3
3	James	24	1	0	0	0	0	0	0	2
3	James	24	10	0.3	0	0.4	0	0.2	0	2
