season	baker	index	episode	place	Starbaker	Bad	Good
1	Edd	0	1	1	0	0	0
1	Edd	0	2	1	0	0	1
1	Edd	0	3	1	0	0	1
1	Edd	0	4	1	0	1	0
1	Edd	0	5	1	0	0	1
1	Edd	0	6	1	0	0	0
1	Miranda	2	1	2	0	0	1
1	Miranda	2	2	2	0	0	1
1	Miranda	2	3	2	0	0	0
1	Miranda	2	4	2	0	0	1
1	Miranda	2	5	2	0	1	0
1	Miranda	2	6	2	0	0	0
1	Ruth	1	1	2	0	0	1
1	Ruth	1	2	2	0	0	0
1	Ruth	1	3	2	0	0	1
1	Ruth	1	4	2	0	0	1
1	Ruth	1	5	2	0	0	1
1	Ruth	1	6	2	0	0	0
1	Jasminder	3	1	3	0	0	0
1	Jasminder	3	2	3	0	0	0
1	Jasminder	3	3	3	0	1	0
1	Jasminder	3	4	3	0	0	1
1	Jasminder	3	5	3	0	1	0
1	Jasminder	3	6	3	0	0	0
1	David	4	1	4	0	1	0
1	David	4	2	4	0	1	0
1	David	4	3	4	0	1	0
1	David	4	4	4	0	1	0
1	David	4	5	4	0	0	0
1	David	4	6	4	0	0	0
1	Jonathan	5	1	5	0	0	0
1	Jonathan	5	2	5	0	0	1
1	Jonathan	5	3	5	0	1	0
1	Jonathan	5	4	5	0	0	0
1	Jonathan	5	5	5	0	0	0
1	Jonathan	5	6	5	0	0	0
1	Annetha	6	1	6	0	0	1
1	Annetha	6	2	6	0	1	0
1	Annetha	6	3	6	0	0	0
1	Annetha	6	4	6	0	0	0
1	Annetha	6	5	6	0	0	0
1	Annetha	6	6	6	0	0	0
1	Louise	7	1	7	0	1	0
1	Louise	7	2	7	0	1	0
1	Louise	7	3	7	0	0	0
1	Louise	7	4	7	0	0	0
1	Louise	7	5	7	0	0	0
1	Louise	7	6	7	0	0	0
1	Lea	8	1	8	0	1	0
1	Lea	8	2	8	0	0	0
1	Lea	8	3	8	0	0	0
1	Lea	8	4	8	0	0	0
1	Lea	8	5	8	0	0	0
1	Lea	8	6	8	0	0	0
1	Mark	9	1	9	0	1	0
1	Mark	9	2	9	0	0	0
1	Mark	9	3	9	0	0	0
1	Mark	9	4	9	0	0	0
1	Mark	9	5	9	0	0	0
1	Mark	9	6	9	0	0	0
2	Jo	10	1	1	0	0	1
2	Jo	10	2	1	0	1	0
