season	baker	index	episode	tech_mean	tech_med	tech	place
1	Annetha	6	1	0	0	LJBC</>SC	6
1	Annetha	6	2	0	0	RPS	6
1	Annetha	6	3	0	0	0	6
1	Annetha	6	4	0	0	0	6
1	Annetha	6	5	0	0	0	6
1	Annetha	6	6	0	0	0	6
1	David	4	1	0	0	COC	4
1	David	4	2	0	0	CCFRB	4
1	David	4	3	0	0	CB	4
1	David	4	4	0	0	PWP	4
1	David	4	5	0	0	0	4
1	David	4	6	0	0	0	4
1	Edd	0	1	0	0	CCBC	1
1	Edd	0	2	0	0	ORC	1
1	Edd	0	3	0	0	OB	1
1	Edd	0	4	0	0	APP	1
1	Edd	0	5	0	0	C,H,L[[T]]P	1
1	Edd	0	6	0	0	CBC	1
1	Jasminder	3	1	0	0	FMPFHC	3
1	Jasminder	3	2	0	0	[[MS	3
1	Jasminder	3	3	0	0	[[F]]	3
1	Jasminder	3	4	0	0	[[S	3
1	Jasminder	3	5	0	0	CMP	3
1	Jasminder	3	6	0	0	0	3
1	Jonathan	5	1	0	0	CCLCCI	5
1	Jonathan	5	2	0	0	HCGC	5
1	Jonathan	5	3	0	0	A,SPOB	5
1	Jonathan	5	4	0	0	0	5
1	Jonathan	5	5	0	0	0	5
1	Jonathan	5	6	0	0	0	5
1	Lea	8	1	0	0	CPC</>OFWI	8
1	Lea	8	2	0	0	0	8
1	Lea	8	3	0	0	0	8
1	Lea	8	4	0	0	0	8
1	Lea	8	5	0	0	0	8
1	Lea	8	6	0	0	0	8
1	Louise	7	1	0	0	COC	7
1	Louise	7	2	0	0	SGWS	7
1	Louise	7	3	0	0	0	7
1	Louise	7	4	0	0	0	7
1	Louise	7	5	0	0	0	7
1	Louise	7	6	0	0	0	7
1	Mark	9	1	0	0	SMTL	9
1	Mark	9	2	0	0	0	9
1	Mark	9	3	0	0	0	9
1	Mark	9	4	0	0	0	9
1	Mark	9	5	0	0	0	9
1	Mark	9	6	0	0	0	9
1	Miranda	2	1	0	0	TLBMC	2
1	Miranda	2	2	0	0	FVBRI	2
1	Miranda	2	3	0	0	WAB	2
1	Miranda	2	4	0	0	STP	2
1	Miranda	2	5	0	0	SS,CPFP	2
1	Miranda	2	6	0	0	LC	2
1	Ruth	1	1	0	0	TTLDC</>FCLC	2
1	Ruth	1	2	0	0	PS</>SPC	2
1	Ruth	1	3	0	0	MPB	2
1	Ruth	1	4	0	0	PBBB	2
1	Ruth	1	5	0	0	MBP	2
1	Ruth	1	6	0	0	M,GBC	2
2	Ben	17	1	0	0	RCC</>ADC	7
2	Ben	17	2	0	0	[[C]],P[[Gè	7
2	Ben	17	3	0	0	W,RRL	7
2	Ben	17	4	0	0	SGN	7
2	Ben	17	5	0	0	0	7
2	Ben	17	6	0	0	0	7
2	Ben	17	7	0	0	0	7
2	Ben	17	8	0	0	0	7
2	Holly	11	1	0	0	CBIC</>GCFT	2
2	Holly	11	2	0	0	PQ	2
