season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	10	0	0.8974358974358974	0.9166666666666666	0.9047619047619048	9.999999977795539e-08	0.8148148148148148	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	1	1.16	21.75	63.25	7.91	27.68
10	Amelia	10	10	0.1111111111111111	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	4	61.44	2.95	4.81	24.32	9.43
10	Dan	10	12	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	4	62.22	3.45	5.65	22.43	9.7
10	David	10	0	0.5185185185185185	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9090909090909091	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	2	6.19	16.2	36.04	13.45	44.32
10	Helena	10	8	0.8666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	3	30.02	1.28	2.35	55.9	11.74
10	Henry	10	0	0.2666666666666667	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.75	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	3	23.62	1.95	3.26	46.87	26.25
10	Jamie	10	11	0.1111111111111111	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666669	9.999999977795539e-08	4	70.8	1.06	1.61	21.3	6.3
10	Michael	10	0	0.9999999000000003	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	3	9.07	0.7	1.29	65.48	24.16
10	Michelle	10	8	0.4285714285714285	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	3	13.36	6.73	13.19	42.63	30.82
10	Phil	10	9	0.3333333333333333	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.33333333333333337	9.999999977795539e-08	4	53.65	2.34	3.9	32.35	10.1
10	Priya	10	7	0.6666666666666669	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	4	55.48	0.35	0.54	38.17	5.81
10	Rosie	10	0	0.5666666666666668	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	4	43.62	0.4	0.6	41.57	14.22
10	Steph	10	0	0.7142857142857143	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	0.53	27.85	86.26	2.5	10.71
