season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	2	0	9.999999977795539e-08	0.08333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	1.74	35.61	87.2	8.61	2.44
10	Amelia	2	0	0.5555555555555556	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	0.9999999000000003	4	54.07	1.32	4.91	22.52	18.5
10	Dan	2	13	0.25000000000000006	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	4	81.22	2.47	6.22	5.73	6.83
10	David	2	0	0.4166666666666668	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	11.82	20.43	63.57	18.19	6.42
10	Helena	2	0	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	28.89	2.08	8.67	36.46	25.98
10	Henry	2	0	0.1111111111111111	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	15.01	8.61	23.58	36.41	24.99
10	Jamie	2	12	0.9999999000000003	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	73.33	0.49	2.11	11.78	12.79
10	Michael	2	0	0.7888888888888889	0.33333333333333337	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	10.72	20.7	60.49	9.93	18.86
10	Michelle	2	0	0.6666666666666672	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	26.93	4.14	13.67	33.94	25.47
10	Phil	2	0	0.3333333333333336	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	26.94	8.54	22.02	27.8	23.24
10	Priya	2	0	0.6666666666666672	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	29.63	4.48	14.24	31.32	24.81
10	Rosie	2	0	0.1111111111111111	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	6.06	20.05	50.07	14.55	29.33
10	Steph	2	0	0.5555555555555556	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	2	6.4	12.32	36.31	17.51	39.78
