season	baker	index	episode	tech_mean	tech_med	tech	place	preds	bottom	finalist	top3
10	Alice	0	2	0.0	3.0	0.08333333333333334	0	4	21.32	18.4	38.03
10	Amelia	1	2	0.5555555555555556	6.5	0.75	0	4	29.55	11.8	28.52
10	Dan	12	2	0.25000000000000006	4.5	0.0	13	4	23.53	17.63	36.75
10	David	2	2	0.4166666666666668	6.0	0.16666666666666669	0	4	25.82	15.81	34.22
10	Helena	3	2	1.0	12.0	1.0	0	4	35.69	9.09	23.84
10	Henry	4	2	0.1111111111111111	3.5	0.5	0	4	24.1	14.97	33.6
10	Jamie	11	2	1.0	12.0	0.9166666666666666	12	4	35.34	9.47	24.43
10	Michael	5	2	0.7888888888888889	7.5	0.33333333333333337	0	4	30.59	13.1	30.1
10	Michelle	6	2	0.6666666666666672	7.0	0.6666666666666667	0	4	30.46	11.85	28.42
10	Phil	7	2	0.3333333333333336	5.5	0.25	0	4	25.22	15.72	34.17
10	Priya	8	2	0.6666666666666672	7.0	0.5833333333333334	0	4	30.13	12.31	29.08
10	Rosie	9	2	0.1111111111111111	3.5	0.4166666666666667	0	4	23.72	15.53	34.31
10	Steph	10	2	0.5555555555555556	6.5	0.8333333333333334	0	4	29.89	11.36	27.89
