season	baker	index	episode	tech_mean	tech_med	tech	place	preds	finalist	bottom	top3
10	Alice	0	2	0.0	3.0	0.08333333333333334	0	3	11.7	12.66	45.28
10	Amelia	1	2	0.5555555555555556	6.5	0.75	0	4	19.4	7.77	28.88
10	Dan	12	2	0.25000000000000006	4.5	0.0	13	11	20.46	29.22	30.29
10	David	2	2	0.4166666666666668	6.0	0.16666666666666669	0	1	50.21	13.36	52.81
10	Helena	3	2	1.0	12.0	1.0	0	10	4.92	43.09	19.57
10	Henry	4	2	0.1111111111111111	3.5	0.5	0	2	36.1	1.15	42.89
10	Jamie	11	2	1.0	12.0	0.9166666666666666	12	10	6.1	34.44	17.35
10	Michael	5	2	0.7888888888888889	7.5	0.33333333333333337	0	2	71.09	7.52	71.52
10	Michelle	6	2	0.6666666666666672	7.0	0.6666666666666667	0	4	15.06	9.68	19.99
10	Phil	7	2	0.3333333333333336	5.5	0.25	0	1	46.24	4.02	49.93
10	Priya	8	2	0.6666666666666672	7.0	0.5833333333333334	0	9	22.52	6.15	25.51
10	Rosie	9	2	0.1111111111111111	3.5	0.4166666666666667	0	2	34.65	1.47	41.24
10	Steph	10	2	0.5555555555555556	6.5	0.8333333333333334	0	4	19.08	9.22	34.82
