season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	2	0	0.0	0.08333333333333334	1.0	1.0	1.0	1.0	0.0	0.0	1	2.23	37.77	86.78	8.33	2.66
10	Amelia	2	10	0.5555555555555556	0.75	0.0	0.0	0.0	0.0	0.8888888888888888	1.0	4	58.29	1.25	4.8	21.5	15.42
10	Dan	2	12	0.25000000000000006	0.0	0.0	0.0	0.0	0.0	0.8888888888888888	0.0	4	84.53	2.15	5.36	5.79	4.32
10	David	2	0	0.4166666666666668	0.16666666666666669	0.0	0.0	1.0	1.0	0.0	0.0	1	12.56	20.4	62.9	18.21	6.33
10	Helena	2	8	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3	30.92	1.74	8.15	35.94	25.0
10	Henry	2	0	0.1111111111111111	0.5	0.0	0.0	0.0	0.0	0.0	0.0	3	16.67	7.64	21.54	35.31	26.48
10	Jamie	2	11	1.0	0.9166666666666666	0.0	0.0	0.0	0.0	1.0	1.0	4	77.04	0.43	1.97	11.58	9.41
10	Michael	2	0	0.7888888888888889	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	4	46.05	4.45	13.7	21.8	18.45
10	Michelle	2	8	0.6666666666666672	0.6666666666666667	1.0	0.0	1.0	0.0	0.0	0.0	1	7.22	18.91	59.1	12.85	20.82
10	Phil	2	9	0.3333333333333336	0.25	0.0	0.0	0.0	0.0	0.0	0.0	4	28.35	7.94	21.17	27.43	23.05
10	Priya	2	7	0.6666666666666672	0.5833333333333334	0.0	0.0	0.0	0.0	0.0	0.0	4	31.52	3.98	13.53	30.94	24.0
10	Rosie	2	0	0.1111111111111111	0.4166666666666667	0.0	0.0	1.0	1.0	0.0	0.0	1	7.64	20.91	64.57	20.66	7.13
10	Steph	2	0	0.5555555555555556	0.8333333333333334	0.0	0.0	1.0	0.0	0.0	0.0	2	7.03	11.04	34.01	21.38	37.58
