season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	2	0	9.999999977795539e-08	0.08333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	0	26.74	28.65	40.42	23.43	9.41
10	Amelia	2	10	0.5555555555555556	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	0.9999999000000003	4	48.45	2.78	5.52	43.24	2.79
10	Dan	2	12	0.25000000000000006	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	4	84.48	0.04	0.07	13.77	1.69
10	David	2	0	0.4166666666666668	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	3	22.69	18.92	29.17	28.57	19.57
10	Helena	2	8	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	0.29	20.83	97.86	1.55	0.3
10	Henry	2	0	0.1111111111111111	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	50.93	14.1	31.85	14.25	2.96
10	Jamie	2	11	0.9999999000000003	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	3	7.86	8.63	18.95	68.49	4.71
10	Michael	2	0	0.7888888888888889	0.33333333333333337	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	0.09	37.55	97.05	1.3	1.57
10	Michelle	2	8	0.6666666666666672	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	3.95	27.48	86.33	8.16	1.56
10	Phil	2	9	0.3333333333333336	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	50.57	8.61	19.52	25.16	4.75
10	Priya	2	7	0.6666666666666672	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	5.68	26.6	80.21	11.9	2.21
10	Rosie	2	0	0.1111111111111111	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	39.7	24.37	39.7	13.66	6.94
10	Steph	2	0	0.5555555555555556	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	0.44	38.14	97.65	1.11	0.79
